涨幅,现价,涨跌,买价,卖价,总手,总金额,现手,涨速,实体涨幅,现均差%,换手,委比%,总市值,流通市值,流通比例%,内盘,外盘,内外比,主力净量,量比,净利润？,市净率,每股盈利,昨收,开盘,开盘涨幅,最高,最低,5日涨幅,10日涨幅,20日涨幅,年初至今,振幅,买量,卖量,笔数,机构动向,总股本,流通股本,利润总额,净利润增长率,每股净资产,金叉个数,散户数量
-0.0145,25.75,-0.38,25.75,25.77,966600,24926740,200,0.0004,-0.0149,-0.15,0.0063,57.24,10346267600,3948496900,0.3816,559250,407350,1.37,-0.01,1.12,73307987,5.47,0.183,26.13,26.14,0.0004,26.14,25.67,-0.0265,0.0174,-0.0717,-0.365,0.018,300,1800,2662,-7.52,401796800,153339690,8.15E+15,-0.3615,4.71,2,4.74
-0.0082,13.34,-0.11,13.34,13.36,663785,8838427,100,-0.0008,-0.0074,0.18,0.0025,0.49,3537177100,3536888700,0.9999,391111,272674,1.43,0.01,0.91,21779567,4.39,0.08,13.45,13.44,-0.0007,13.45,13.23,-0.0045,0.0269,-0.0539,-0.2801,0.0164,1700,2800,1102,13.92,265155700,265134080,2.76E+15,0.1936,3.04,1,-2.27
-0.0185,9,-0.17,9,9.01,3823900,34501086,500,-0.0011,-0.0142,-0.25,0.0094,73.34,4329832500,3642886800,0.8413,2453000,1370900,1.79,-0.12,1,-18026702,2.26,-0.038,9.17,9.13,-0.0044,9.18,8.97,-0.027,0.0297,-0.0354,-0.4022,0.0229,55100,9600,6955,-36.69,481092500,404765200,-2.32E+15,-1.386,3.99,0,10.87
-0.0237,10.73,-0.26,10.73,10.74,3855300,41569175,100,-0.0009,-0.0156,-0.48,0.0074,94.25,7582252900,5606148200,0.7394,2408143,1447157,1.66,-0.13,0.92,-33445992,8.56,-0.047,10.99,10.9,-0.0082,10.98,10.7,-0.0325,0.0571,0.0161,-0.2996,0.0255,14300,2100,4218,-31.86,706640540,522474210,-3.43E+15,-0.6114,1.25,0,3.5
0.0036,30.35,0.11,30.35,30.38,1011550,30707720,500,0.0017,-0.0039,-0.02,0.0056,-76.17,5463000000,5463000000,1,504250,507300,0.994,0.03,1.24,8602759,4.55,0.048,30.24,30.47,0.0076,30.57,30.03,0.0117,0.0616,0.0642,-0.1511,0.0179,200,1600,2292,12.79,180000000,180000000,8.59E+14,-0.3564,6.67,0,-12.26
-0.011,7.18,-0.08,7.18,7.19,4045100,29083648,200,0,-0.0083,-0.14,0.0086,55.93,3512494100,3393697900,0.9662,2442700,1602400,1.52,-0.09,0.74,-57500000,3.97,-0.054,7.26,7.24,-0.0028,7.3,7.15,-0.0362,0.017,0.0028,-0.5075,0.0207,12000,4500,8358,-34.47,489205300,472659870,-3.17E+15,-2.189,1.81,2,5.12
0.0086,25.85,0.22,25.82,25.85,10290491,263466170,400,0.0023,0.0282,0.96,0.0246,-58.33,12127415900,10829051100,0.8929,5144959,5145532,1,-0.38,0.82,110745406,5.28,0.236,25.63,25.14,-0.0191,26.08,24.8,0.0319,0.2141,0.3986,0.2469,0.0499,1200,200,17265,-25.31,469145680,418918800,1.37E+16,0.0307,4.9,1,119.51
-0.013,10.6,-0.14,10.6,10.62,8466617,90584320,200,-0.0009,-0.0093,-0.92,0.0123,53.25,7944435000,7286379800,0.9172,4743714,3722903,1.27,-0.16,1.23,-79549161,7.01,-0.11,10.74,10.7,-0.0037,10.82,10.55,-0.0275,-0.0203,-0.2561,-0.0212,0.0251,51000,9200,7347,-28.97,749475000,687394320,-8.61E+15,-2.913,1.51,0,60.35
-0.0432,11.74,-0.53,11.73,11.74,50908511,597126570,900,-0.0009,-0.0281,0.09,0.0338,-25,18199488000,17693816000,0.9722,28206978,22701533,1.24,-1.03,1.45,-58364480,4.43,-0.037,12.27,12.08,-0.0155,12.08,11.55,0.0586,0.088,0.1487,0.051,0.0432,3100,300,33119,-35.85,1550212000,1507139300,-6.94E+15,-1.399,2.65,0,214.18
-0.0105,57.43,-0.61,57.42,57.43,3392729,196016020,800,0.0007,0.004,-0.59,0.0153,40,23328655000,12742477900,0.5461,1964829,1427900,1.38,-0.07,0.79,266743620,14.99,0.657,58.04,57.2,-0.0145,58.49,57.2,-0.0462,0.12,0.1117,0.4511,0.0222,5300,1000,13111,-9.35,406281000,221878420,3.15E+16,1.765,3.83,1,24.49
